Moviepy - Building video output.mp4.
Moviepy - Writing video output.mp4

Moviepy - Done !
Moviepy - video ready output.mp4
         236133 function calls (232086 primitive calls) in 9.239 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1298    0.021    0.000    0.021    0.000 {fillPoly}
     2310    0.026    0.000    0.026    0.000 {line}
        1    0.000    0.000    0.000    0.000 tempfile.py:281(rng)
        1    0.000    0.000    0.000    0.000 tempfile.py:292(__next__)
        3    0.000    0.000    0.000    0.000 copy.py:66(copy)
        2    0.000    0.000    0.000    0.000 copy.py:107(_copy_immutable)
        1    0.000    0.000    0.000    0.000 copy.py:259(_reconstruct)
        1    0.000    0.000    0.000    0.000 random.py:119(__init__)
        1    0.000    0.000    0.000    0.000 random.py:128(seed)
        1    0.000    0.000    0.000    0.000 random.py:519(<listcomp>)
        1    0.000    0.000    0.000    0.000 random.py:506(choices)
        2    0.000    0.000    0.000    0.000 linecache.py:26(getline)
        2    0.000    0.000    0.000    0.000 linecache.py:36(getlines)
        1    0.000    0.000    0.000    0.000 linecache.py:80(updatecache)
        1    0.000    0.000    0.000    0.000 tokenize.py:321(read_or_stop)
        1    0.000    0.000    0.000    0.000 tokenize.py:327(find_cookie)
        1    0.000    0.000    0.000    0.000 tokenize.py:297(detect_encoding)
        1    0.000    0.000    0.000    0.000 tokenize.py:390(open)
        3    0.000    0.000    0.000    0.000 subprocess.py:246(_cleanup)
        3    0.000    0.000    0.001    0.000 subprocess.py:758(__init__)
        2    0.000    0.000    0.000    0.000 subprocess.py:1065(__del__)
        3    0.000    0.000    0.000    0.000 subprocess.py:1080(_get_devnull)
        1    0.000    0.000    0.025    0.025 subprocess.py:1110(communicate)
        5    0.000    0.000    0.000    0.000 subprocess.py:1184(_remaining_time)
        3    0.000    0.000    0.000    0.000 subprocess.py:1192(_check_timeout)
        3    0.000    0.000    0.174    0.058 subprocess.py:1204(wait)
